instance_name,source_kind,source_path,graph_type,n,repetition,seed,initial_cost,best_cost,reference_cost,relative_error_percent,time_ms,iterations,accepted_moves,improved_moves,best_tour
asym_n9_02,generated,data/generated/asym_n9_02.txt,asymmetric,9,2,21346,1943,1749,1749,0.000000,20.696334,200000,31331,2,6 5 2 3 7 8 1 0 4
asym_n9_02,generated,data/generated/asym_n9_02.txt,asymmetric,9,3,21347,1943,1749,1749,0.000000,20.674833,200000,32074,2,5 2 3 7 8 1 0 4 6
asym_n9_02,generated,data/generated/asym_n9_02.txt,asymmetric,9,4,21348,1943,1749,1749,0.000000,20.691917,200000,31777,1,1 0 4 6 5 2 3 7 8
asym_n9_02,generated,data/generated/asym_n9_02.txt,asymmetric,9,5,21349,1943,1749,1749,0.000000,20.828208,200000,31403,2,5 2 3 7 8 1 0 4 6
asym_n9_03,generated,data/generated/asym_n9_03.txt,asymmetric,9,1,21345,1818,1720,1720,0.000000,20.603375,200000,28029,1,6 4 0 3 7 2 8 1 5
asym_n9_03,generated,data/generated/asym_n9_03.txt,asymmetric,9,2,21346,1818,1720,1720,0.000000,20.458333,200000,27712,1,2 8 1 5 6 4 0 3 7
asym_n9_03,generated,data/generated/asym_n9_03.txt,asymmetric,9,3,21347,1818,1720,1720,0.000000,20.553917,200000,27733,2,6 4 0 3 7 2 8 1 5
asym_n9_03,generated,data/generated/asym_n9_03.txt,asymmetric,9,4,21348,1818,1720,1720,0.000000,20.725750,200000,27837,1,4 0 3 7 2 8 1 5 6
asym_n9_03,generated,data/generated/asym_n9_03.txt,asymmetric,9,5,21349,1818,1720,1720,0.000000,20.558833,200000,27656,1,0 3 7 2 8 1 5 6 4
sym_n9_01,generated,data/generated/sym_n9_01.txt,symmetric,9,1,21345,2303,2248,2248,0.000000,20.671708,200000,56742,2,2 5 8 6 0 4 1 3 7
sym_n9_01,generated,data/generated/sym_n9_01.txt,symmetric,9,2,21346,2303,2248,2248,0.000000,20.649167,200000,56703,1,5 8 6 0 4 1 3 7 2
sym_n9_01,generated,data/generated/sym_n9_01.txt,symmetric,9,3,21347,2303,2248,2248,0.000000,20.804917,200000,56568,2,3 1 4 0 6 8 5 2 7
sym_n9_01,generated,data/generated/sym_n9_01.txt,symmetric,9,4,21348,2303,2248,2248,0.000000,20.710208,200000,56479,2,3 7 2 5 8 6 0 4 1
sym_n9_01,generated,data/generated/sym_n9_01.txt,symmetric,9,5,21349,2303,2248,2248,0.000000,20.594584,200000,56463,1,2 7 3 1 4 0 6 8 5
sym_n9_02,generated,data/generated/sym_n9_02.txt,symmetric,9,1,21345,1635,1358,1358,0.000000,20.487792,200000,56111,3,4 0 3 5 1 7 2 8 6
sym_n9_02,generated,data/generated/sym_n9_02.txt,symmetric,9,2,21346,1635,1358,1358,0.000000,20.755084,200000,56293,2,6 8 2 7 1 5 3 0 4
sym_n9_02,generated,data/generated/sym_n9_02.txt,symmetric,9,3,21347,1635,1358,1358,0.000000,20.556417,200000,55889,2,1 5 3 0 4 6 8 2 7
sym_n9_02,generated,data/generated/sym_n9_02.txt,symmetric,9,4,21348,1635,1358,1358,0.000000,20.704250,200000,55981,5,3 0 4 6 8 2 7 1 5
sym_n9_02,generated,data/generated/sym_n9_02.txt,symmetric,9,5,21349,1635,1358,1358,0.000000,21.213042,200000,55294,4,4 0 3 5 1 7 2 8 6
sym_n9_03,generated,data/generated/sym_n9_03.txt,symmetric,9,1,21345,1883,1832,1832,0.000000,21.549167,200000,60331,2,1 3 2 8 4 5 6 7 0
sym_n9_03,generated,data/generated/sym_n9_03.txt,symmetric,9,2,21346,1883,1832,1832,0.000000,20.950375,200000,60338,2,4 5 6 7 0 1 3 2 8
sym_n9_03,generated,data/generated/sym_n9_03.txt,symmetric,9,3,21347,1883,1832,1832,0.000000,20.847791,200000,60035,2,4 8 2 3 1 0 7 6 5
sym_n9_03,generated,data/generated/sym_n9_03.txt,symmetric,9,4,21348,1883,1832,1832,0.000000,20.792625,200000,60071,3,7 0 1 3 2 8 4 5 6
sym_n9_03,generated,data/generated/sym_n9_03.txt,symmetric,9,5,21349,1883,1832,1832,0.000000,20.800083,200000,60035,2,5 4 8 2 3 1 0 7 6
asym_n10_01,generated,data/generated/asym_n10_01.txt,asymmetric,10,1,22345,1860,1860,1860,0.000000,19.481542,200000,29358,0,4 7 0 5 9 2 1 6 8 3
asym_n10_01,generated,data/generated/asym_n10_01.txt,asymmetric,10,2,22346,1860,1860,1860,0.000000,19.449167,200000,28807,0,4 7 0 5 9 2 1 6 8 3
