instance,kind,source,type,edge_weight_type,dimension,repetition,seed,best_length,opt_length,gap_percent,elapsed_ms,generations,improvements,population_size,crossover_rate,mutation_rate,local_search_rate
xql662,VLSI,Waterloo_VLSI,TSP,EUC_2D,662,1,12458123624764142301,2616,2513,4.098687,3159.732,45,13,90,0.920,0.340,0.350
xql662,VLSI,Waterloo_VLSI,TSP,EUC_2D,662,2,12458123624760782994,2596,2513,3.302825,3028.262,38,12,90,0.920,0.340,0.350
lim963,VLSI,Waterloo_VLSI,TSP,EUC_2D,963,0,17387575537536512530,2934,2789,5.198996,3075.131,31,12,90,0.920,0.340,0.350
lim963,VLSI,Waterloo_VLSI,TSP,EUC_2D,963,1,17387575537537610967,2952,2789,5.844389,3072.997,28,11,90,0.920,0.340,0.350
lim963,VLSI,Waterloo_VLSI,TSP,EUC_2D,963,2,17387575537534252696,2920,2789,4.697024,3036.317,35,19,90,0.920,0.340,0.350
dka1376,VLSI,Waterloo_VLSI,TSP,EUC_2D,1376,0,12645652969828319564,4995,4666,7.051007,3101.728,15,7,90,0.920,0.340,0.350
dka1376,VLSI,Waterloo_VLSI,TSP,EUC_2D,1376,1,12645652969827256201,4912,4666,5.272182,3008.480,19,10,90,0.920,0.340,0.350
dka1376,VLSI,Waterloo_VLSI,TSP,EUC_2D,1376,2,12645652969826125254,4978,4666,6.686670,3081.931,16,9,90,0.920,0.340,0.350
djc1785,VLSI,Waterloo_VLSI,TSP,EUC_2D,1785,0,2386467851548169367,6718,6115,9.860998,3253.581,15,6,90,0.920,0.340,0.350
djc1785,VLSI,Waterloo_VLSI,TSP,EUC_2D,1785,1,2386467851549200978,6616,6115,8.192968,3055.308,16,8,90,0.920,0.340,0.350
djc1785,VLSI,Waterloo_VLSI,TSP,EUC_2D,1785,2,2386467851545972765,6626,6115,8.356500,3168.789,18,10,90,0.920,0.340,0.350
xpr2308,VLSI,Waterloo_VLSI,TSP,EUC_2D,2308,0,12656641529505319398,7920,7219,9.710486,3050.936,13,7,90,0.920,0.340,0.350
xpr2308,VLSI,Waterloo_VLSI,TSP,EUC_2D,2308,1,12656641529504255779,7821,7219,8.339105,3162.375,12,9,90,0.920,0.340,0.350
xpr2308,VLSI,Waterloo_VLSI,TSP,EUC_2D,2308,2,12656641529507319148,7865,7219,8.948608,3415.817,10,6,90,0.920,0.340,0.350
